 __label__8, 人 狼 なんて いる わけ ない じゃん 。 みんな 大げさ だ なあ 
 __label__8, “ 元 ” ならず者 です 。 以後 お 見知り おき を … 
 __label__8, あ 、 写真 は 昔 の もの な の です 。 お 恥ずかしい の です が 、 これ しか なく て … 。 
 __label__8, お 、 ディーター 。 よく 来 て くれ た な 、 俺 が 歓迎 しよ う 。 ま 、 まずは 茶 でも 飲む が いい さ 。 ・ ・ ・ む 、 この 集まり 具合 だ と 延長 戦 に なる か な 。 まあ 、 待つ の は なれ て いる から 気 に は なら ない が 。 
 __label__8, どうも 、 皆様 。 裏切り の 村 唯一 の パン 屋 、 オットー で ござい ます 。 
 __label__8, む 、 オットー も 来 て くれ た か 。 これ で 半分 だ な ？ あと 五 人 来 たら 夜明け か ・ ・ ・ 滑り 込み を 期待 する か 、 それとも いっそ 一 日 待っ て フル メンバー を 期待 する か ・ ・ ・ 悩ましい な 。 
 __label__8, ■ 1 . コア タイム は 20 時 から 更新 、 でしょ う か 。 不定期 に なっ て しまう かも しれ ない です 。 ■ 2 . 更新 の 二 時間 前 に 仮 決定 、 一 時間 前 に 本 決定 が いい と 思っ て い ます 。 ■ 3 . 特に こだわり は あり ませ ん 。 何 か やり たい 方 が いらっしゃれ ば 、 それ で いい か と 。 □ 4 . パン は 焼ける けれど 、 他 の 料理 が 一切 作れ ませ ん … … 。 どなた か 私 に 料理 を 教え て いただけ ない でしょ う か ？ とりあえず 　 つ 【 よ もぎ パン 】 
 __label__8, >> 14 　 トーマス さん 、 こんばんわ 。 お茶 ありがとう ござい ます 。 ず ず … 。 ほう 、 美味 です ね 。 みなさま が 集まる まで おいしい お茶 を 頂き ながら まったり 致し ましょ う か 。 と 思い まし たら オットー さん 。 こんばんわ 。 
 __label__8, ■ 1 . メイン は 20 時 から に なり ます 。 ■ 2 . 仮 21 : 00 本 21 : 30 あたり を 希望 し て み ましょ う か 。 ■ 3 . うーん 。 大分 考え込み まし た が 特に 思い 浮かば ず です ねぇ 。 □ 4 . レディーファースト を モットー に 、 恐れ 多く も みなさま に 頼ら れる 紳士 で あり たい 、 そう 思う 次第 です 。 
 __label__8, こんばんわ です 、 トーマス さん 。 私 として は 延長 で も いい ので フル メンバー が いい です ねえ 。 G 国 は 建国 間 も ない です から 、 人 が 集まり にくい の で は ？ とか 勝手 に 思っ て み ます けど 、 さて さて どう な ん でしょ う ねぇ 。 
 __label__8, 今 読ん で いる 小説 の パン 屋 が ちょうど 光線 を 放ち だし た 所 で オットー の 登場 か 。 何 という タイミング 。 料理 なら 俺 が 教え て やっ て も いい が 、 絵 面 的 に キツ い から 遠慮 する こと に しよ う 。 ・ ・ ・ 「 紳士 的 な ディーター は 信用 する な 」 と 、 妻 に 言わ れ た こと が ある ん だ が ・ ・ ・ まあ 、 心配 する こと は ない だろ う 。 
 __label__8, のんびり 待っ て フル メンバー に なる の も よし 、 少 人数 で 始まる の も また 一興 。 どう なり ます か ねぇ 。 オットー さん 、 よ もぎ パン 頂き ます ね 。 もぐり もぐり 。 … ほう 、 トーマス さん の お茶 と あい ます 。 私 も 料理 は 苦手 でし て … 。 なんせ 昔 は … … 、 嗚呼 お 恥ずかし いっ 。 
 __label__8, そう です よ トーマス さん 、 ご 心配 に は 及び ませ ん 。 過去 は 確か に … … 、 ああ 、 思い出す だけ で 顔 が … っ ！ とにかく 今 は 、 世 の ため 人 の ため と 思い 、 日々 精進 し て いる 身 で あり ます 。 ぜひ 奥様 に お 会い し て 、 誤解 を 解か せ て 頂き たい 。 おや 、 奥様 と お嬢様 と は 別に お 住まい で ？ 何やら ご 事情 が ある よう です ね … 。 
 __label__8, ・ ・・ディーター の 過去 に は 触れ ない で おい て やる か 。 俺 の 妻 に 会い たい と な ？ 別 に いい が 、 会っ て 腰 を 抜かす な よ ？ 自分 で 言う の も 何 だ が 、 かなり の 美人 だ 。 ・ ・ ・ もちろん 、 娘 も な 。 事情 は まあ ・ ・ ・ あと で 話す さ 。 
 __label__8, 延長 戦 突入 、 滑り 込み は 無し か 。 まあ 、 せっかく なら フル メンバー で 始まっ た 方 が 俺 的 に は 嬉しい し な 。 さて 、 俺 は 一旦 席 を はずす 。 また 明日 、 皆 が 集まっ て いる と 嬉しい 。 では な 。 
 __label__8, 美人 な 奥様 と お嬢様 で いらっしゃる と は 、 独り身 の 私 として は 羨ましい 話 です 。 ご 事情 は … 、 よろしい の です よ 。 トーマス さん が 話し たい とき に お話 ください な 。 さて 、 まだ 人 は 集まら なかっ た よう で 。 明日 フル メンバー で の 開始 と なり そう です ねぇ 。 まったり する と いたし ましょ う か 。 それでは 。 
 __label__8, 発言 の 残り 回数 が 20 / 20 の まま だ と 更新 時刻 に 失踪 し ちゃう から 気 を つけ て ねー 
 __label__8, どうも 。 通りすがり の 旅人 だ 。 出来れ ば しばらく 、 やっかい に なる よ 。 
 __label__8, よ もぎ パン と 、 お茶 、 もらっ て いい の か な ？ 冷め てる けど ・ ・ ・ 。 うまい ね 。 
 __label__8, 失踪 阻止 な の です 
 __label__8, ゲルト さん が いらっしゃる と は な の です … … ぷよ 
 __label__8, 議題 に 答え て おく よ 。 ■ 1 . 19 時 以降 が メイン か な 。 でも その他 の 時間 帯 も ちょこちょこ と 顔 出せる と 思う 。 ■ 2 . 仮 21 : 15 、 本 21 : 45 って ところ か な 。 でも 皆 の 希望 と 誤差 範囲 だ ね 。 ■ 3 . 特に は 。 通りすがり は 慎ましく 、 ね 。 □ 4 . 訳 あっ て 、 旅 を し て 回っ て いる 。 ちょっと 探し もの が あっ て ね 。 この 村 に ある か 、 調べ たく て 立ち寄ら せ て もらっ た 訳 だ 。 
 __label__8, 人 狼 って 本 の 中 だけ だ と 思っ て い た のに … ホント に 居る の かしら 
 __label__8, ■ 1 . 22 ： 00 ? 25 ： 00 位 ※ 不定期 に なる 時 あり ■ 2 . 皆さん に 合わせ ます ■ 3 . 特に ない です ね □ 4 . 時々 、 意味 不 な 発言 が あっ て も 気 に なさら ず 
 __label__8, 誰 も い ない の ね 。 グスン … グスン … 明日 、 また 来よ う かしら … 
 __label__8, よーし ジージ 頑張っ ちゃう ぞ ！ 
 __label__8, ■ 1 . 超 朝方 な ん じゃ 。 ■ 2 . 夜中 は 眠い から 勘弁 の 。 回避 なんか は しっかり やる ぞ 。 ■ 3 . 投票 CO は 無くなっ た こと じゃ し 、 特殊 ルール と いえ ば 個人 戦 あたり じゃ な 。 □ 4 . ジージ 、 みんな の こと だ ー い すき ！ 
 __label__8, という わけ で 、 畑 に 出 て くる ぞ 。 
 __label__8, ■ 1 . 23 : 00 ～ 01 : 00 昼間 は ボチボチ ■ 2 . お 任せ ■ 3 . 特に なし □ 4 . 信じる もの は 救わ れる の です !! 
 __label__8, この 村 に 人 狼 が 出る の ？ この 町 で 一番 の 美人 と 名高い 私 が 真っ先 に 食べ られ ちゃう かも … 私 の こと 守っ て くれる よう な 素敵 な 王子 様 、 現れ ない か なぁ ☆ 
 __label__8, ■ 1 . 基本 夜 ～ 朝方 か なぁ 。 日 中 は ほとんど 顔 出せ ない と 思う わ 。 ■ 2 . 仮 決定 21 時 、 本 決定 22 時 くらい が いい か な 。 ■ 3 . 特に ない わ 。 王子 様 は いつか 現れる の よ !! 私 待っ てる !! 
 __label__8, 寝る 前 に ちょっと 見 に 来 た ん だ けど 、 深夜 帯 は あんまり 人 が い ない みたい ね 。 人数 も 私 を 入れ て やっ と 10 人 だ し 、 もう ちょっと 増え て くれ ない と 寂しい なぁ … さて 、 私 も そろそろ 寝 なきゃ 。 夜 更かし は お 肌 に 悪い し 。 綺麗 で いる ため に は それなり の 心がけ も 大事 な ん だ から ！ 
 __label__8, 人 狼 なんて 本当に いる の か なぁ 。 い たら 怖い なぁ 。 
 __label__8, ■ 1 . 本格 的 に は 21 時 以降 か なぁ 。 でも 時々 のぞい たり は でき ます 。 ■ 2 . 21 時 以降 なら 合わせ ます 。 ■ 3 . 特に ない です 。 怖い んで できるだけ 隠れ て い たい けど 、 頑張り ます 。 
 __label__8, 人 狼 が 出る って ！ 人 狼 の … 毛皮 … ！ 
 __label__8, 議題 は >> 41 で 大体 あっ てる か な 。 
 __label__8, 皆さん おはよう ござい ます 。 新しい パン の 研究 を し て い たら いつの間にか 寝 て しまい まし た 。 とり 合え ず お 昼 ご飯 に でも どうぞ 。 置い て いき ます ね 。 つ 【 ベーグル 】 
 __label__8, ず ざ ～ 
 __label__8, ■ 1 . 不定期 。 時間 が ある とき に 参加 する 。 ■ 2 . みんな に あわせる ぜ 。 ■ 3 . 特に なし 。 
 __label__8, □ 4 . 俺 の 左 脚 だれ か 知ら ない ？ ？ 
 __label__8, ふう 、 昼飯 じゃ 。 ばあさん 弁当 、 略し て 婆 弁 が ない から オットー の ベーグル を 頂こ う 。 … … 初めて なん じゃ よ … … ワシ … … ベーグル … … モサモサ する の ぅ … … … … … … … … 超 美味い ぞ 。 この 生地 の もっ ちり 感 が たまら ん の 。 ベーグル は 最高 じゃ 。 これから も 毎日 食べ たい ぐらい じゃ 。 
 __label__8, そう そう 、 シモン の 左足 と いえ ば 、 家 の 裏庭 の 畑 から それ っぽい 物 が 。 ちょっと 待っ とれ 。 … … … … 冗談 じゃ よ 。 
 __label__8, >> 52 サンキュ ！ ！ おおっ 、 良い ん じゃ ない ？ ！ ちゃんと 動く し 、 左 脚 は これ で 良い よ 。 
 __label__8, あと は … 左 眼 かぁ 
 __label__8, よろ 
 __label__8, みなさん 、 おはよう ござい ます 。 朝 の 祈り を 。 おや 、 もう 昼過ぎ です か 。 お疲れ様 です 。 オットー さん 、 ベーグル 頂き ます ね 。 アーメン 、 ラーメン ぼく ベーグル 。 
 __label__8, ちょ っ 、 シモン さん 怖 すぎる … 食欲 なく なっ ちゃっ た んで 僕 の ぶん の ベーグル どなた か どうぞ 。 
 __label__8, あ 、 フル メンツ に なり まし た ね みなさん こんばんわ な の です 、 ぷよ 
 __label__8, こんばんは ～ 
 __label__8, そう いえ ば 今日 開始 だ と 私 は 1 時 すぎ ぐらい に 顔 出す こと に なる と おもう の です 、 と 先 に 伝え て おく こと に する の です よ ～ 
 __label__8, あら 、 人 が 増え てる じゃ ない 。 お昼 から は だいぶ 過ぎ ちゃっ た けど 、 オットー の ベーグル を いただく わ 。 
 __label__8, 今 戻っ た 。 ふむ 、 フル メンバー に なっ た か ・ ・ ・ 喜ばしい こと だ 。 何 が 起こる か 分から ない が 、 皆 仲良く やっ て いこ う じゃ ない か 。 取りあえず 、 オットー の ベーグル を 頂き つつ 、 全員 分 の 紅茶 を 淹 れ て おく 。 つ 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 
 __label__8, フル メンバー に なっ た の は 素直 に 嬉しい です ね 。 私 の ベーグル 、 お 口 に 合っ た でしょ う か … … ？ とりあえず トーマス さん 、 、 お茶 を ありがとう ござい ます 。 パン ばかり で すみません 、 メイン ディッシュ は 腕 に 自信 が ある 方 に 任せ ます 。 つ 【 フランス パン 】 
 __label__8, フランス パン 、 頂こ う 。 そう だ な 、 主食 だけ で は なん だ し 、 俺 も 何 か 作る か ・ ・ ・ [ とんとん とんとん ち ー ん ★] シチュー が でき た ぞ 。 皆 で 食べ て くれ 。 つ 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 旦 
 __label__8, おっ 、 フランス パン いただく よ 。 お茶 も ある じゃ ない か 。 ありがとう 。 この 村 は こんなに 人 が いたん だ ね 。 いや 、 立ち寄っ て 良かっ た 。 
 __label__8, 私 も フランス パン と シチュー を 頂き ましょ う 。 今夜 も 神 と その 慈悲 に 感謝 。 アーメン 、 素麺 、 X メン 。 
 __label__8, ご飯 が でき てる ♪ さっき ベーグル を 食べ た ばっかり だ けど ご馳走 に なる わ 。 オットー 、 トーマス 、 ありがとう ♪ 今日 は 食事 の 準備 が 整っ てる し 、 私 の 料理 の 腕 を 振るう の は 明日 以降 に なり そう ね ☆ 
 __label__8, 僕 ベーグル 苦手 な ん だ 。 なぜ か って 昔 母さん が 血 の ｔ 
 __label__8, ご飯 、 冷め ちゃっ た か な でも おいし そう だ から 、 シチュー 頂こ う っと モグモグ トーマス さん おいしい わ 、 ありがとう 
 __label__8, もう少し で 夜明け か ・ ・ ・ こうして 思う に 、 一 日 待つ という の は 結構 短い もん だ な 。 神父 殿 、 パメラ 、 クララ 。 礼 に は およば ん 。 むしろ 、 こんな むさくるしい オッサン の 手料理 を 食べ て くれ て 光栄 だ 。 
 __label__8, シチュー は フランス パン に 合う いい 料理 です ね 。 ありがとう ござい ます 。 そろそろ 夜明け です ね 、 楽しみ です 。 
 __label__8, シチュー も 僕 は 苦手 だ な 。 なぜ か って 昔 母さん が ある 男 の い ｋ 
 __label__8, ペーター さん … … トラウマ 多 すぎ です ね （ 苦笑 ） 若い 頃 から ストレス フル な 状況 に 置か れ て いる と 、 ジムゾン の よう に なっ て しまい ます よ ？ 
 __label__8, ・ ・・ペーター 、 お前 の 母ちゃん って どんな 奴 な ん だ ・ ・ ・ ？ そこ まで トラウマ が 多い と 、 逆 に 気 に なっ て くる ぞ ・ ・ ・ ？ 
 __label__8, 僕 の 母さん は 今 も 元気 に 生き てる よ 。 まぁ 父さん は い ない けど ね 。 まぁ 詮索 は よし て くれ よ 。 
 __label__8, そう か ・ ・ ・ 気 に 障る 事 を 言っ て すま ない 、 ペーター 。 まあ 、 お互い 家庭 に 複雑 な 事情 が ある どう し 仲良く やっ て いこ う じゃ ない か 。 
 __label__8, もうすぐ 夜明け ね 。 どんな こと が 起こる の かしら … 
 __label__8, みなさま こんばんわ 。 フル で の 夜明け と なり まし た ね 。 
 __label__8, ふ ぁ ー あ … … ねむい な … … 寝 て て いい ？ 
 __label__8, 私 も いつも は 、 まだまだ 起き てる 時間 だ けど … 眠い わ ー … 
 __label__5, あー た ー らし ー い あー さ が き た ー ♪ や ー ぼ ー の ー あー さ ー だ ー ♪ とりあえず 、 議題 だけ 落とし て おく 。 ■ 1 . まとめ 役 を 立てる か 否 か ■ 2 . 能力 者 の ＣＯ 時期 ■ 3 . 回避 ＣＯ について ■ 4 . 占い 先 希望 
 __label__8, ふ あ ～ 眠 いよ ～ 
 __label__7, 夜明け か 、 俺 の 左目 に は 光 は 差し込ま ない が な ｗ 誰 か 左目 しら ない ？ お 兄ちゃん から 貰っ た 大切 な 目 な ん だ よ なぁ 。 トマ >> 81 議題 サンキュ ～ 。 
 __label__9, トーマス さん 、 議題 を ありがとう ござい ます 。 そして ゲルト 、 ご 冥福 を お祈り し て おき ます ね 。 ■ 1 . 確定 能力 者 が 出 たら その 方 に お願い し たい です 。 多分 霊 能 者 あたり が 確定 する と 思う ので 、 霊 能 者 さん に お願い し ましょ う 。 ■ 2 . 初日 FO が いい です ね 。 狼 に 考え させ たく ない ので 出来れ ば さっさと 。 そんな こんな で 私 は 能力 者 か 非 能力 者 か 宣言 し たい ん です けれど いい でしょ う か ？ ■ 3 . FO 希望 な ので 当然 なし で 。 
 __label__9, ■ 1 . 俺 として は い て くれ た 方 が 安心 できる ん だ が ・ ・ ・ 共有 者 無し 、 投票 先 も 非公開 と なる と 難しい か ？ まあ 、 立てる と し たら 白 確定 者 か 霊 能 者 に なる か な 。 立候補 は 個人 的 に あまり 好き じゃ なく て な 。 ■ 2 . 灰 を 狭める 為 に 初日 ＦＯ が 俺 の 好み 。 襲撃 後 に ＣＯ という の は 、 いまいち 信用 が 出来 ない し な 。 ■ 3 . 初日 ＦＯ 希望 だ から 関係 ない ん だ が 、 もし 潜伏 案 で いく なら 占 霊 は 占 吊 回避 有り が いい な 。 狩人 は 吊 回避 のみ 有り が いい な 。 
 __label__9, ■ 4 . まだ 保留 。 ま 、 おいおい 考え て いく さ 。 ≫ 84 能力 者 の 非 対抗 回す の は 、 ＦＯ 派 の 俺 として は 賛成 だ が 、 まずは 他 の 人 の 意見 を 聞い て から だ と おもう な 。 それ と ゲルト は 死ん で ない ぞ 、 寝 てる だけ だ 。 ・ ・・ゲルト の 冥福 を 祈る なんて 不吉 な 事 を 言う ん じゃ ない 。 それとも 、 お前 が 明日 こいつ を 冥土 送り に する つもり な の か ・ ・ ・ ？ なんて な 。 まあ 、 死ん だ よう に 寝 てる から 見 間違え た だけ だろ う 。 
 __label__9, ■ 1 . 私 も 居 て くれ たら 安心 か な 。 でも 、 やる 人 は 白 確定 の 人 が いい な ■ 2 . １ 回 襲撃 が あっ て から 、 CO し て も ねー 　 　 だから 、 初日 FO 希望 ー ■ 3 . これ に関して は 、 ２ の 通り だ から 希望 なし ー こんな 感じ かしら ねー 
 __label__9, ■ 1 . 個人 戦 は 苦手 な ので 纏め 役 を 立て たい が 、 共 が 居 ない ので 確定 能力 者 に お願い し たい 。 確定 し ない 場合 は ・ ・ ・ 白 確 出る まで 多数決 。 狼 側 の 票 が ４ 票 も ある ので 心配 ちゃ ～ 心配 だ が ・ ・ ・ 他 に 良い 案 が 思いつか ない 。 ■ 2 . 初日 ＦＯ 希望 。 ■ 3 . ＦＯ な ので 占い 霊 は 無し 。 狩人 は 占 吊り 共 に あり 。 ■ 4 . 保留 。 
 __label__9, あれ 、 朝 か 。 トーマス さん 、 議題 どうも です 。 ■ 1 . オットー さん の 言う よう に 確定 能力 者 が いれ ば 任せる の が いい と 思い ます 。 ただ 対抗 出 ます よ ね … ■ 2 . FO で いい ん じゃ ない でしょ う か ？ ■ 3 . ん ～ 、 ↑ 希望 な んで 狩人 回避 CO くらい です 。 ■ 4 . まだ 考え て ない です 。 
 __label__9, >> 86 はい 、 その ところ は 一応 弁え て いる つもり です ので 、 発表 し たい 旨 だけ を 伝え た つもり です 。 独断 で する つもり は あり ませ ん 。 でも トーマス さん は どの タイミング で 対抗 非 対抗 回す つもり で いる の でしょ う か ？ まとめ 役 の 支持 を 待つ わけ に は いき ませ ん よ ？ 
 __label__9, おはよう ござい ます 。 静か に 夜 が 明け まし た ね 。 さて 早速 議題 に 答える と し ましょ う か 。 トーマス さん ありがとう ござい ます 。 ■ １ 　 まとめる 方 が いる と 助かり ます ね 。 よろしけれ ば 確霊 に お願い し たい です ね 。 村民 数 が 多く ない ので 霊 能 者 が 確定 する 可能 性 が 高い でしょ う から 。 ただ 、 まとめ に 出 たく ない 霊 能 者 さま も いる かも しれ ない と 考える と … その 時 は 白 確 、 出る まで は 占 先 決定 は 投票 でしょ う か 。 
 __label__9, ■ ２ 　 １ より 霊 初日 CO 、 占師 は ３ 日 目 第一声 CO を 希望 し て み ましょ う 。 優先 する もの は 能力 者 保護 です 。 ただ 、 灰 から 真 占 が 襲撃 さ れる という 危惧 も ない わけ で は あり ませ ん 。 迷い ます ね 。 ■ ３ 　 占師 は 占 吊 共に 有り で 。 狩人 は 吊 のみ が よろしい か と 。 
 __label__9, ■ １ 　 霊 に まとめ 役 おねがい し たい です ね 。 ■ ２ 　 初日 が 望ましい です 。 まぁ あと は みなさん と 似 た よう な 感じ です ねー 
 __label__9, >> 90 一応 、 全員 の 意見 が 一 通り 出 て から ・ ・ ・ といった 具合 だ な 。 意見 が バラ け たら 多数決 が 良い と 思っ て いる から 、 ＦＯ 派 が 多い なら ＦＯ 、 潜伏 派 が 多けれ ば 潜伏 ・ ・ ・ が いい と 思っ て いる ん だ が 。 ・ ・ ・ しかし 、 これ 言う と なんか 俺 が まとめ 立候補 し てる みたい だ な ・ ・ ・ そういう 意図 じゃあ ない ぞ 。 
 __label__5, >> 90 ぼちぼち 発言 も 出揃っ た な 。 俺 も サック と 回し たい が … 他 の 人 の 意見 を 尊重 し たい って 言う トーマス の 考え も 理解 できる 。 まとめ 役 居 ない ので 時間 を 決め て ＣＯ する の が 良い ともう ぜ 。 「 ２ ４ 時 を 過ぎ たら ＣＯ を 始める とか 」 
 __label__9, トーマス 、 議題 を ありがとう 。 答える わ 。 ■ 1 . 確霊 に お願い し たい な 。 ■ 2 . 霊 は 初日 。 占 は 始め の うち は 潜伏 で 狼 を 引い たら ＣＯ し て ほしい な 。 ＦＯ も いい ん だ けど 、 それ だ と 占 が 危険 よ ね … ■ 3 . 占 が 狼 を 見つけ て ＣＯ する 前 に 吊ら れ そう に なっ たら 回避 し て もらい たい わ 。 それ と 狩人 の 回避 ＣＯ 。 
 __label__5, >> 94 　>> 95 そう です ね 、 シモン さん の 案 も 別 に 構わ ない の です が 、 私 として は 「 過半数 、 即ち 8 人 以上 が FO 希望 」 だっ たら 始めよ う と 思っ て い まし た 。 どの道 決める の は 多数決 に なる の でしょ う し 、 どう でしょ う ？ 
 __label__9, トーマス 、 議題 ありがとう 。 ■ 1 まとめ は 欲しい ね 。 皆 の 言う 通り 確定 白 か 霊 か 。 ■ 2 まとめ が 欲しい ので 占 霊 は さっ くり CO し て 欲しい ね 。 ■ 3 FO 希望 な ので 、 狩人 の 吊り 回避 くらい か な 。 ■ 4 まだまだ これから だ ね 。 
 __label__5, ざっと 見回す と 今 は ＦＯ 派 が 多い な 。 そう じゃ ない 奴 は 、 初日 霊 ＣＯ 派 といった 具合 か 。 >> 95 の 時間 制 ＣＯ は 良い 案 だ と 思う ・ ・ ・ が 、 問題 は 俺 が 24 時 過ぎ まで 起き て い られ ない という こと だ ・ ・ ・ >> 97 は 確か に そう だ な 。 どの道 まとめ 不在 なら 多数決 の 形 を とる の が 一番 無難 だ 。 いっそ の こと 、 霊 ＣＯ だけ 今回 し て しまう か ？ 霊 ＣＯ は する な という 奴 は 今 の 所 い ない よう だ し 。 
 __label__9, >> 99 さっさと プレッシャー を かけ て しまい ましょ う 。 どの道 これ で ７ 人 、 丁度 半分 が FO 希望 な ので 、 おそらく 過半数 に なる でしょ う し 。 とりあえず は 霊 CO は し て おく べき でしょ う 。 確定 し て しまえ ば まとめ も お願い でき ます し ね 。 で は 。 【 私 は 霊 能 者 で は あり ませ ん よ 。 】 
 __label__5, >> 99 さっさと プレッシャー を かけ て しまい ましょ う 。 どの道 これ で ７ 人 、 丁度 半分 が FO 希望 な ので 、 おそらく 過半数 に なる でしょ う し 。 とりあえず は 霊 CO は し て おく べき でしょ う 。 確定 し て しまえ ば まとめ も お願い でき ます し ね 。 で は 。 【 私 は 霊 能 者 で は あり ませ ん よ 。 】 
 __label__5, >> 97 俺 の 提案 は 発言 待ち に なっ て 議論 が グダグダ に なる の を 回避 出来る の と 、 面白 そう な 作戦 を 提案 さ れ た 時 に 議論 できる 時間 が 出来る ので 良い か な ～ って 思っ た 位 だ から な 、 特に 拘り は 無い 過半数 を 超え たら ＣＯ は 始める で ＯＫ 。 数え て 無い けど 。 。 。 超え た ？ 
 __label__9, 【 左目 を 亡くし た ので 霊 は 見え ない （ 非 霊 ） 】 （ 発言 勿体ない … ） 
 __label__9, 共有 者 も い ませ ん し 、 CO の 件 は 多数決 で 決める しか ない です よ ね 。 私 も シモン さん >> 95 の ご 意見 と 同じ よう に 、 可能 なら ば 時間 を 決め て 一気に CO を 回し たい ところ です が … 。 現実 難しい かも しれ ませ ん ね … と 思っ て い たら オットー さん の 非 霊 CO 。 ふむ … 初日 霊 CO 反対 も い ない よう です し 、 流れ に のっ て も 差し支え ない でしょ う か ね 。 回す なら 早め に 。 【 非 霊 】 
 __label__9, 霊 の 方 の カミングアウト は 始まっ てる みたい です ねん じゃ 、 私 も 言っ とき ます ね 【 私 は 霊 能 者 で は あり ませ ん 】 
 __label__9, 早く も オットー が 回し 始め た な 。 なら 、 俺 も 宣言 し て おこ う 。 【 俺 は 霊 能 者 じゃ ない 】 。 さて 、 そろそろ 人 が 集まっ て くる だろ う 時間 に なっ て き た が 、 俺 は もう 寝る こと に する 。 木こり の 朝 は 早い から な 。 取りあえず 、 そこで 眠りこけ てる ゲルト に 布団 かぶせ て から 退席 する 。 ・ ・ ・ 別 に 他意 は ない ぞ 、 娘 に 頼ま れ た もん で な 。 じゃあ 、 また 明日 。 
 __label__9, じゃあ 私 も 【 霊 能力 は あり ませ ん 】 
 __label__9, 霊 CO 回し は 始まっ た ん だ ね 。 了解 。 自分 も 【 霊 能力 は ない 】 
 __label__9, ふーん 、 ＦＯ 希望 が 多い の ね 。 さっき 私 は 霊 ＣＯ と 占 ＣＯ を 分け た けど 、 特に こだわり が ある って 訳 じゃ ない から ＦＯ に なる なら それで いい わ 。 あ 、 【 私 は 霊 能 者 じゃ ない わ 】 
 __label__8, 私 も そろそろ 寝 ます 。 ごめんなさい 、 皆様 。 ちょっと パン の 研究 ばかり し て い たら 疲労 が 溜まっ て い て … … 。 では また 明日 です 、 お 休み なさい 。 
 __label__8, >> オットー さん 　 おやすみなさい みんな もう 寝 てる の か な ？ ？ 
 __label__8, まだ 、 起き てる よー 
